time_bin,hour,lmp_usd_mwh,is_4cp_bin
0,0.0,20.359923329563244,False
1,0.25,12.778503405617696,False
2,0.5,10.826798466924172,False
3,0.75,15.36481965252001,False
4,1.0,18.073145578441572,False
5,1.25,14.685559562683245,False
6,1.5,11.3331459794846,False
7,1.75,11.64575227281745,False
8,2.0,9.869313824542074,False
9,2.25,13.799349656387427,False
10,2.5,11.015525446496733,False
11,2.75,11.567463635539063,False
12,3.0,9.925959270303025,False
13,3.25,3.728040360726732,False
14,3.5,8.769098550394872,False
15,3.75,11.1047699751175,False
16,4.0,14.209057169697031,False
17,4.25,18.286851422993553,False
18,4.5,15.114557665982934,False
19,4.75,15.382633623463697,False
20,5.0,19.764092917334214,False
21,5.25,16.441938028219973,False
22,5.5,17.315436658149384,False
23,5.75,14.328517463704395,False
24,6.0,19.510560784136008,False
25,6.25,19.17439984170588,False
26,6.5,18.426332528767823,False
27,6.75,21.131877098232607,False
28,7.0,21.473727468656662,False
29,7.25,23.421753373379197,False
30,7.5,27.51647734627249,False
31,7.75,26.878064058068095,False
32,8.0,24.3898699714038,False
33,8.25,21.0219003777631,False
34,8.5,21.383977131583595,False
35,8.75,15.690563040441852,False
36,9.0,19.24346841923479,False
37,9.25,19.6008416846584,False
38,9.5,19.41811547057152,False
39,9.75,14.389156869905966,False
40,10.0,21.874458263415406,False
41,10.25,24.527176173601823,False
42,10.5,20.229950940794065,False
43,10.75,22.1042655566448,False
44,11.0,19.872789535515224,False
45,11.25,21.15337225270573,False
46,11.5,22.116151723977318,False
47,11.75,25.021276602585548,False
48,12.0,31.061610337782348,False
49,12.25,26.498352214668788,False
50,12.5,29.73563476930226,False
51,12.75,30.178117063640855,False
52,13.0,30.17966871327409,False
53,13.25,31.84636340854667,False
54,13.5,35.694889641188375,False
55,13.75,29.668973416640565,False
56,14.0,28.342389556096975,False
57,14.25,28.922642255479836,False
58,14.5,26.137537417519987,False
59,14.75,29.42639587820316,False
60,15.0,32.99912269501808,False
61,15.25,34.18115723354116,False
62,15.5,36.89649609670852,False
63,15.75,32.819974026699335,False
64,16.0,32.60146394631387,False
65,16.25,34.8006632460838,False
66,16.5,35.91949871209051,False
67,16.75,37.18043063245705,False
68,17.0,39.760801552246285,False
69,17.25,37.7626720226043,False
70,17.5,34.67037985945212,False
71,17.75,33.41295106273295,False
72,18.0,38.8908713467459,False
73,18.25,32.60488539453939,False
74,18.5,30.171674408655257,False
75,18.75,32.90356661407775,False
76,19.0,34.33788790868197,False
77,19.25,32.467613835149855,False
78,19.5,33.85632705213486,False
79,19.75,34.19026496091898,False
80,20.0,33.51308009851522,False
81,20.25,32.29043415366719,False
82,20.5,29.389200507917838,False
83,20.75,30.981340002044394,False
84,21.0,29.81582650129324,False
85,21.25,28.97572044540791,False
86,21.5,29.757793157919536,False
87,21.75,28.772855812665235,False
88,22.0,29.002359927366093,False
89,22.25,23.0849885163205,False
90,22.5,22.120368545469688,False
91,22.75,17.41970316443853,False
92,23.0,19.8944093165472,False
93,23.25,16.656911695969445,False
94,23.5,14.175381774058886,False
95,23.75,21.38049644836746,False
96,24.0,18.004886778395672,False
97,24.25,17.046044188242814,False
98,24.5,17.623119054077,False
99,24.75,14.61837249441044,False
100,25.0,12.526791733260714,False
101,25.25,13.883577088482076,False
102,25.5,15.105732370384912,False
103,25.75,9.468592249496906,False
104,26.0,10.38129979708532,False
105,26.25,10.361510668982476,False
106,26.5,11.92565951663817,False
107,26.75,10.374564393330832,False
108,27.0,11.542334057331251,False
109,27.25,7.550576557736351,False
110,27.5,9.085561471351834,False
111,27.75,5.658838397091429,False
112,28.0,10.104044394716299,False
